id;title;salary_min;salary_max;description;requirements;conditions;responsibilities;status;created_at;updated_at
7454;Finance Manager (Corporate);100000;190000;Компания ищет Finance Manager для управления финансами корпоративного отдела. Вы будете отвечать за бюджет, отчёты и финансовую стратегию.;- Опыт работы в финансовом менеджменте от 3 лет.<br>- Знание Excel, Power BI, 1C.<br>- Умение работать с данными и метриками.<br>- Английский — Upper Intermediate.;"- Официальное трудоустройство.<br>- Бонусы за KPI.<br>- Доступ к ИИ-инструментам для анализа данных и генерации отчётов;";  - Управление бюджетом и финансовой стратегией.<br>- Подготовка отчётов и презентаций.<br>- Участие в переговорах и стратегических сессиях.;Активная;2026-03-26 10:30:00.000;2026-03-26 10:30:00.000
7455;HR Business Partner;75000;140000;Ищем HR Business Partner для работы с бизнес-подразделениями. Вы будете отвечать за HR-стратегию, развитие и вовлечённость сотрудников.;- Опыт работы в HR от 2 лет.<br>- Знание HR-процессов, HR-систем.<br>- Умение работать с командами и заинтересованными сторонами.<br>- Английский — Intermediate.;"- Гибридный график.<br>- Обучение и курсы.<br>- ИИ-инструменты для анализа данных и генерации отчётов;";  - Разработка HR-стратегии для подразделения.<br>- Управление рекрутингом и адаптацией.<br>- Организация обучения и развития.;Активная;2026-03-26 11:45:00.000;2026-03-26 11:45:00.000
7456;Project Coordinator (IT);65000;120000;Компания ищет Project Coordinator для поддержки IT-проектов. Вы будете отвечать за планирование, документацию и взаимодействие с командами.;- Опыт работы в IT-проектах от 1 года.<br>- Знание Agile/Scrum, Jira, Confluence.<br>- Умение работать с документами и заинтересованными сторонами.<br>- Английский — Intermediate.;"- Удалённая работа.<br>- Гибкий график.<br>- Доступ к ИИ-инструментам для анализа рисков и планирования;";  - поддержка планирования и документации.<br>- Взаимодействие с командами и заинтересованными сторонами.<br>- Участие в ритуалах и отчётности.;Активная;2026-03-26 13:00:00.000;2026-03-26 13:00:00.000
7457;Business Development Manager;85000;160000;Ищем Business Development Manager для развития партнёрских программ и новых рынков. Вы будете отвечать за поиск партнёров, переговоры и заключение сделок.;- Опыт работы в B2B-продажах или партнёрских программах от 2 лет.<br>- Знание CRM, аналитики.<br>- Умение работать с возражениями и закрывать сделки.<br>- Английский — Upper Intermediate.;"- Официальное трудоустройство.<br>- Комиссионные за сделки.<br>- Доступ к ИИ-инструментам для анализа рынков и генерации предложений;";  - Поиск и привлечение партнёров.<br>- Ведение переговоров и заключение договоров.<br>- Участие в выставках и конференциях.;Активная;2026-03-26 14:15:00.000;2026-03-26 14:15:00.000
7458;Data Analyst (Marketing);70000;130000;Компания ищет Data Analyst для работы с маркетинговыми данными. Вы будете отвечать за анализ, визуализацию и генерацию гипотез.;- Опыт работы с данными от 1 года.<br>- Знание SQL, Python, Power BI, Google Analytics.<br>- Умение работать с метриками и KPI.<br>- Английский — Intermediate.;"- Удалённая работа.<br>- Бонусы за KPI.<br>- ИИ-ассистенты для анализа данных и генерации гипотез;";  - Анализ маркетинговых кампаний.<br>- Подготовка отчётов и дашбордов.<br>- Участие в планировании и оптимизации бюджета.;Активная;2026-03-26 15:30:00.000;2026-03-26 15:30:00.000
7459;Finance Analyst;68000;125000;Ищем Finance Analyst для работы с финансовыми данными. Вы будете отвечать за анализ, отчёты и поддержку финансового планирования.;- Опыт работы с финансовыми данными от 1 года.<br>- Знание Excel, Power BI, SQL.<br>- Умение работать с метриками и KPI.<br>- Английский — Intermediate.;"- Официальное трудоустройство.<br>- Компенсация за обучение.<br>- ИИ-инструменты для анализа данных и генерации отчётов;";  - Анализ финансовых данных и метрик.<br>- Подготовка отчётов и презентаций.<br>- Участие в планировании и прогнозировании.;Активная;2026-03-26 16:45:00.000;2026-03-26 16:45:00.000
7460;Product Marketing Manager;88000;165000;Компания ищет Product Marketing Manager для продвижения продукта на рынке. Вы будете отвечать за позиционирование, маркетинговые кампании и взаимодействие с командами.;- Опыт работы в product marketing от 2 лет.<br>- Знание маркетинговых стратегий, аналитики.<br>- Умение работать с данными и метриками.<br>- Английский — Upper Intermediate.;"- Удалённая работа.<br>- Бонусы за KPI.<br>- ИИ-ассистенты для анализа данных и генерации гипотез;";  - Разработка маркетинговой стратегии продукта.<br>- Проведение исследований и Анализ конкурентов.<br>- Взаимодействие с маркетингом и продажами.;Активная;2026-03-26 18:00:00.000;2026-03-26 18:00:00.000
7461;Supply Chain Manager;80000;150000;Ищем Supply Chain Manager для управления логистикой и цепочками поставок. Вы будете отвечать за оптимизацию, контроль и взаимодействие с поставщиками.;- Опыт работы в логистике от 2 лет.<br>- Знание ERP-систем, Excel, Power BI.<br>- Умение работать с данными и метриками.<br>- Английский — Intermediate.;"- Гибридный график.<br>- Бонусы за KPI.<br>- ИИ-инструменты для анализа данных и генерации отчётов;";  - Управление цепочками поставок.<br>- оптимизация логистики и снижение издержек.<br>- Взаимодействие с поставщиками и внутренними командами.;Активная;2026-03-26 19:15:00.000;2026-03-26 19:15:00.000
7462;Legal Counsel (Corporate);90000;170000;Компания ищет Legal Counsel для работы с корпоративными договорами и юридическими вопросами. Вы будете отвечать за сопровождение сделок и консультирование.;- Опыт работы в корпоративном праве от 2 лет.<br>- Знание ГК РФ, 44-ФЗ, 223-ФЗ.<br>- Умение работать с документами и заинтересованными сторонами.<br>- Английский — Upper Intermediate.;"- Официальное трудоустройство.<br>- Компенсация за обучение.<br>- ИИ-ассистенты для анализа документов и генерации шаблонов;";  - Сопровождение сделок и договоров.<br>- Консультирование по юридическим вопросам.<br>- Участие в переговорах и презентациях.;Активная;2026-03-27 08:00:00.000;2026-03-27 08:00:00.000
7463;Risk Manager (FinTech);95000;180000;Ищем Risk Manager для работы в FinTech-компании. Вы будете отвечать за оценку рисков, разработку политик и взаимодействие с регуляторами.;- Опыт работы в риск-менеджменте от 2 лет.<br>- Знание Basel III, IFRS 9, AML.<br>- Умение работать с данными и метриками.<br>- Английский — Upper Intermediate.;"- Удалённая работа.<br>- Бонусы за KPI.<br>- Доступ к ИИ-инструментам для анализа данных и генерации отчётов;";  - Оценка и Управление рисками.<br>- Разработка политик и процедур.<br>- Взаимодействие с регуляторами и аудиторами.;Активная;2026-03-27 09:15:00.000;2026-03-27 09:15:00.000
7464;Compliance Officer;75000;140000;Компания ищет Compliance Officer для обеспечения соответствия законодательству. Вы будете отвечать за мониторинг, отчёты и обучение сотрудников.;- Опыт работы в compliance от 1 года.<br>- Знание 152-ФЗ, AML, GDPR.<br>- Умение работать с документами и заинтересованными сторонами.<br>- Английский — Intermediate.;"- Гибридный график.<br>- Обучение и курсы.<br>- ИИ-инструменты для анализа данных и генерации отчётов;";  - Мониторинг соответствия законодательству.<br>- Подготовка отчётов и презентаций.<br>- Организация обучения сотрудников.;Активная;2026-03-27 10:30:00.000;2026-03-27 10:30:00.000
7465;IT Director;120000;220000;Ищем IT Director для руководства IT-направлением компании. Вы будете отвечать за стратегию, бюджет, команды и взаимодействие с топ-менеджментом.;- Опыт работы в IT-управлении от 5 лет.<br>- Знание Agile, DevOps, ITIL.<br>- Умение работать с топ-менеджментом и заинтересованными сторонами.<br>- Английский — Upper Intermediate.;"- Официальное трудоустройство.<br>- Бонусы за KPI.<br>- Доступ к ИИ-инструментам для анализа данных и генерации отчётов;";  - Разработка IT-стратегии.<br>- Управление бюджетом и командами.<br>- Взаимодействие с топ-менеджментом и инвесторами.;Активная;2026-03-27 11:45:00.000;2026-03-27 11:45:00.000
7466;Head of Marketing;110000;200000;Компания ищет Head of Marketing для руководства маркетинговым направлением. Вы будете отвечать за стратегию, бюджет, команды и взаимодействие с product owner.;- Опыт работы в маркетинге от 5 лет, из них 2 года в управлении.<br>- Знание digital-маркетинга, аналитики, CRM.<br>- Умение работать с данными и метриками.<br>- Английский — Upper Intermediate.;"- Удалённая работа.<br>- Бонусы за KPI.<br>- ИИ-ассистенты для анализа данных и генерации гипотез;";  - Разработка маркетинговой стратегии.<br>- Управление командой и бюджетом.<br>- Взаимодействие с product owner и продажами.;Активная;2026-03-27 13:00:00.000;2026-03-27 13:00:00.000
7467;Head of Sales;115000;210000;Ищем Head of Sales для руководства отделом продаж. Вы будете отвечать за стратегию, KPI, команды и развитие клиентской базы.;- Опыт работы в B2B-продажах от 5 лет, из них 2 года в управлении.<br>- Знание CRM, аналитики, стратегий продаж.<br>- Умение работать с командой и заинтересованными сторонами.<br>- Английский — Upper Intermediate.;"- Официальное трудоустройство.<br>- Комиссионные за продажи.<br>- Доступ к ИИ-инструментам для анализа данных и генерации предложений;";  - Разработка стратегии продаж.<br>- Управление командой и KPI.<br>- Взаимодействие с product owner и маркетингом.;Активная;2026-03-27 14:15:00.000;2026-03-27 14:15:00.000
7468;Head of HR;105000;195000;Компания ищет Head of HR для руководства HR-направлением. Вы будете отвечать за стратегию, команды, развитие и взаимодействие с топ-менеджментом.;- Опыт работы в HR от 5 лет, из них 2 года в управлении.<br>- Знание HR-процессов, HR-систем, законодательства.<br>- Умение работать с командой и заинтересованными сторонами.<br>- Английский — Upper Intermediate.;"- Гибридный график.<br>- Бонусы за KPI.<br>- ИИ-инструменты для анализа данных и генерации отчётов;";  - Разработка HR-стратегии.<br>- Управление командой и HR-процессами.<br>- Взаимодействие с топ-менеджментом и инвесторами.;Активная;2026-03-27 15:30:00.000;2026-03-27 15:30:00.000
7469;Chief Financial Officer (CFO);150000;250000;Ищем CFO для руководства финансовым направлением компании. Вы будете отвечать за стратегию, бюджет, отчёты и взаимодействие с инвесторами.;- Опыт работы в финансовом управлении от 7 лет, из них 3 года в управлении.<br>- Знание IFRS, GAAP, финансового анализа.<br>- Умение работать с данными и метриками.<br>- Английский — Upper Intermediate.;"- Официальное трудоустройство.<br>- Бонусы за KPI.<br>- Доступ к ИИ-инструментам для анализа данных и генерации отчётов;";  - Разработка финансовой стратегии.<br>- Управление бюджетом и отчётностью.<br>- Взаимодействие с инвесторами и аудиторами.;Активная;2026-03-27 16:45:00.000;2026-03-27 16:45:00.000
7470;Chief Operating Officer (COO);160000;280000;Компания ищет COO для руководства операционным направлением. Вы будете отвечать за эффективность, стратегию, команды и взаимодействие с топ-менеджментом.;- Опыт работы в операционном управлении от 7 лет, из них 3 года в управлении.<br>- Знание Lean, Six Sigma, Agile.<br>- Умение работать с данными и метриками.<br>- Английский — Upper Intermediate.;"- Официальное трудоустройство.<br>- Бонусы за KPI.<br>- Доступ к ИИ-инструментам для анализа данных и генерации отчётов;";  - Разработка операционной стратегии.<br>- Управление командами и процессами.<br>- Взаимодействие с топ-менеджментом и инвесторами.;Активная;2026-03-27 18:00:00.000;2026-03-27 18:00:00.000
